Epoch,NakamotoCoefficient,GiniIndex,TotalTokens,TotalVotingPower,AgentCount
1,216,0.8298,193057283.02,148389391.54,9899
2,212,0.8298,190387500.40,128893544.48,9788
3,210,0.8294,187825095.60,117243360.77,9683
4,206,0.8294,185512124.85,109195368.34,9594
5,204,0.8301,184548877.95,103792099.63,9511
6,201,0.8307,183372486.24,99389336.38,9408
7,201,0.8291,178960193.92,94043322.18,9318
8,200,0.8290,177877940.39,91028975.36,9239
9,197,0.8297,176733508.20,88374903.31,9149
10,196,0.8295,174626342.81,85551192.70,9070
11,193,0.8300,173129156.31,83276990.32,8984
12,189,0.8303,171719064.62,81241076.64,8890
13,187,0.8306,170663367.82,79531834.30,8810
14,184,0.8310,169447745.56,77878647.52,8730
15,182,0.8312,168140741.61,76295974.62,8651
16,179,0.8312,166197748.33,74524440.77,8557
17,177,0.8315,164851585.17,73107671.96,8481
18,174,0.8321,163654919.54,71829722.54,8391
19,172,0.8319,161619788.71,70250328.67,8308
20,172,0.8310,158885363.16,68432203.93,8215
21,170,0.8316,158046670.62,67484482.27,8135
22,169,0.8320,157544469.00,66720997.84,8057
23,167,0.8318,155547971.79,65364872.21,7974
24,165,0.8319,154415233.16,64409773.37,7912
25,163,0.8320,152664987.44,63230657.14,7834
26,162,0.8309,149406806.30,61465282.40,7754
27,161,0.8311,147969591.57,60481829.62,7670
28,159,0.8309,145960467.88,59292318.15,7586
29,156,0.8313,144783384.14,58465277.45,7505
30,155,0.8310,143023374.97,57425034.55,7438
31,151,0.8315,141554638.23,56523300.44,7357
32,148,0.8319,140308840.30,55729680.95,7287
33,147,0.8325,139579275.87,55156181.47,7228
34,146,0.8319,137765289.61,54170386.90,7163
35,144,0.8320,136188578.73,53294824.27,7092
36,141,0.8321,134202413.80,52274350.75,7001
37,139,0.8316,131800182.65,51109068.79,6920
38,138,0.8304,128663557.18,49675998.48,6861
39,136,0.8307,127722969.10,49105579.24,6801
40,134,0.8311,126691561.55,48510031.72,6737
41,134,0.8308,125208813.35,47751926.45,6668
42,133,0.8310,124374045.11,47250264.83,6605
43,131,0.8316,123401639.04,46704428.65,6539
44,130,0.8313,121688034.45,45887239.27,6462
45,128,0.8316,120726978.97,45362447.27,6402
46,127,0.8309,118707758.72,44448896.20,6336
47,125,0.8314,117944921.18,44013025.34,6283
48,123,0.8321,116803869.41,43442738.91,6214
49,121,0.8326,115949244.03,42985247.54,6161
50,120,0.8318,114314494.02,42244926.65,6116
51,119,0.8322,113675244.28,41879038.43,6052
52,119,0.8300,110479741.83,40579299.58,5999
53,117,0.8305,109622975.74,40145424.89,5933
54,116,0.8286,106760207.64,38984131.97,5877
55,115,0.8287,105813577.76,38528659.65,5824
56,113,0.8290,104801360.42,38054353.24,5776
57,112,0.8289,103909618.29,37627880.46,5723
58,111,0.8292,103217783.80,37277906.54,5670
59,110,0.8292,102216695.04,36819544.00,5615
60,109,0.8296,101868627.06,36600196.24,5565
61,108,0.8301,101278340.15,36296644.61,5506
62,107,0.8290,99413633.26,35540836.02,5452
63,105,0.8290,98710871.04,35204245.48,5410
64,104,0.8293,98332733.47,34985447.95,5366
65,102,0.8293,96941664.18,34409974.01,5322
66,101,0.8291,96084242.28,34027914.64,5288
67,100,0.8298,95737446.38,33828614.13,5242
68,99,0.8302,95028743.52,33503553.27,5195
69,98,0.8304,94650483.50,33297384.00,5161
70,97,0.8310,94202250.38,33068368.85,5105
71,96,0.8314,93763376.94,32844745.43,5065
72,96,0.8315,93645080.36,32735699.34,5029
73,95,0.8312,92289758.23,32196181.14,4970
74,94,0.8310,91534872.59,31868786.84,4934
75,95,0.8298,90174392.43,31333185.22,4899
76,93,0.8300,89643537.19,31088354.85,4869
77,92,0.8288,87556128.30,30306164.50,4815
78,91,0.8290,86770295.72,29977540.03,4761
79,91,0.8287,85853933.90,29605947.69,4713
80,91,0.8289,85728211.07,29507624.80,4675
81,90,0.8296,85424243.07,29349983.91,4634
82,89,0.8298,84458921.14,28966690.18,4586
83,88,0.8301,83821084.67,28697307.20,4532
84,86,0.8288,81630396.67,27899614.49,4494
85,85,0.8292,81219906.75,27711447.84,4450
86,84,0.8292,80394672.48,27383370.50,4411
87,84,0.8295,79838371.90,27148599.27,4368
88,83,0.8296,79536157.09,27001528.53,4336
89,81,0.8290,78033600.16,26448950.15,4290
90,80,0.8297,77646245.79,26275478.43,4244
91,80,0.8298,77178498.82,26074826.41,4198
92,79,0.8297,76411043.89,25775255.85,4160
93,78,0.8287,74688533.48,25156233.03,4122
94,77,0.8285,73890082.06,24849593.73,4085
95,76,0.8290,73359343.42,24633724.32,4043
96,74,0.8291,72509455.45,24312332.93,4013
97,73,0.8297,72189088.43,24169447.61,3983
98,73,0.8299,71586171.29,23932653.64,3959
99,72,0.8304,71140195.12,23748625.33,3920
100,70,0.8303,69951602.65,23319779.31,3882
101,71,0.8292,69001723.19,22971422.99,3856
102,70,0.8282,67690093.42,22504377.14,3824
103,68,0.8279,66589211.44,22108757.83,3783
104,68,0.8262,65203291.18,21620139.82,3754
105,67,0.8257,64564287.28,21380243.28,3739
106,66,0.8262,64118122.72,21203015.34,3701
107,65,0.8268,63774233.77,21061787.47,3663
108,65,0.8273,63638372.48,20989327.16,3633
109,65,0.8253,62031775.17,20434289.75,3595
110,64,0.8253,61890174.37,20361870.47,3572
111,64,0.8247,61067709.54,20066658.87,3539
112,63,0.8245,60630391.47,19898727.05,3516
113,63,0.8233,59665927.83,19558963.17,3480
114,64,0.8211,58037431.32,19002594.79,3445
115,63,0.8213,57962723.03,18955035.28,3421
116,62,0.8217,57552722.86,18798977.31,3393
117,62,0.8221,57430022.22,18736198.42,3375
118,62,0.8217,56868885.34,18531449.86,3352
119,61,0.8221,56719619.65,18461821.71,3332
120,61,0.8228,56403885.39,18337622.21,3301
121,60,0.8224,55913597.96,18157942.87,3271
122,59,0.8227,55453145.38,17988652.89,3247
123,59,0.8204,54131564.95,17540710.22,3214
124,58,0.8206,53562376.92,17336975.03,3187
125,57,0.8208,53217078.06,17207037.68,3166
126,57,0.8210,53004792.92,17120298.12,3148
127,57,0.8216,52875411.87,17060120.39,3128
128,56,0.8222,52713206.99,16989318.90,3103
129,56,0.8229,52600330.73,16935109.18,3082
130,55,0.8235,52087469.20,16752261.11,3048
131,55,0.8220,51061389.16,16406228.66,3014
132,53,0.8217,49961973.95,16036759.26,2974
133,52,0.8227,49713046.10,15940982.26,2942
134,52,0.8217,48862583.19,15653262.14,2914
135,52,0.8224,48690447.59,15582371.70,2882
136,52,0.8230,48543066.20,15520359.32,2863
137,51,0.8230,48186023.05,15391325.83,2841
138,50,0.8234,47743454.77,15235861.40,2817
139,50,0.8225,46693547.47,14887122.22,2790
140,49,0.8230,46581982.25,14837146.71,2768
141,49,0.8230,46251740.87,14718002.48,2747
142,48,0.8234,46007245.49,14627095.00,2734
143,48,0.8227,45318774.31,14394449.69,2709
144,47,0.8209,44072238.72,13987010.07,2681
145,47,0.8199,43515735.24,13797526.04,2660
146,47,0.8186,42814738.80,13562456.58,2636
147,46,0.8182,42231699.13,13367130.55,2618
148,45,0.8186,41857290.45,13236648.58,2598
149,44,0.8184,41232253.80,13027647.55,2575
150,43,0.8192,41030223.65,12952193.49,2547
151,44,0.8178,40414538.06,12747687.07,2521
152,43,0.8169,39675599.78,12504127.17,2499
153,44,0.8139,38471143.39,12115592.20,2481
154,43,0.8137,38197421.36,12020041.49,2469
155,42,0.8139,37668059.93,11844027.10,2436
156,42,0.8143,37523460.79,11788773.69,2419
157,41,0.8152,37246255.23,11692282.47,2394
158,40,0.8156,36903861.59,11576147.84,2368
159,41,0.8112,35740917.34,11203158.72,2349
160,41,0.8111,35514862.57,11123400.80,2335
161,40,0.8117,35293624.04,11044956.16,2310
162,38,0.8120,34720993.24,10857601.59,2283
163,38,0.8128,34533485.11,10790612.48,2261
164,37,0.8120,34122996.09,10654381.92,2244
165,37,0.8121,33800567.33,10546011.20,2231
166,36,0.8124,33623831.09,10482138.65,2213
167,36,0.8106,32784933.66,10213297.32,2195
168,35,0.8116,32683148.02,10173588.32,2176
169,36,0.8090,31833351.92,9902629.12,2158
170,35,0.8094,31592363.21,9821490.49,2146
171,35,0.8097,31501474.68,9785387.82,2134
172,34,0.8103,31304664.56,9717566.86,2117
173,34,0.8107,31235591.41,9689145.28,2100
174,34,0.8112,31096275.24,9638952.71,2089
175,33,0.8122,30969703.32,9592570.99,2069
176,33,0.8124,30937575.76,9575926.90,2060
177,34,0.8094,30207604.94,9344173.87,2046
178,34,0.8084,29706371.19,9182762.76,2034
179,34,0.8086,29553919.47,9130077.43,2023
