"name","proposal_count","proposal_count_group"
"Bootleggers","132","101-200"
"RaidGuild","86","51-100"
"RaidGuild Season 6 Cohort","81","51-100"
"ELI5 DAO: Epoch 4","63","51-100"
"Bison Narwhal","62","51-100"
"ELI 5 DAO (Cloned)","42","16-50"
"ROM FE testing","39","16-50"
"Smart Invoice","37","16-50"
"Raid Guidl Cookie Jar","34","16-50"
"CookieJar Yeet","27","16-50"
"ONB1","24","16-50"
"PlorDAO","21","16-50"
"DAO LIST","17","16-50"
"Rite of Moloch","16","16-50"
"V3 Launch to EthDenver 2023","14","6-15"
"Seneschal Testing DAO","14","6-15"
"Raid Brood Beer DAO","14","6-15"
"Kokonut DAO","14","6-15"
"Arcadia Foundation DAO","13","6-15"
"The Damned Cutlass","12","6-15"
"Gas Jar","12","6-15"
"Free Ryder DAO","12","6-15"
"Cohort 3 DAOHaus Test Run DAO Club","11","6-15"
"Onboarder Test","10","6-15"
"Daocemberists","10","6-15"
"Cookie Tester","10","6-15"
"Silver Door","9","6-15"
"Taxir","8","6-15"
"Infinite Loop","8","6-15"
"Free Ryder Curatoooors","7","6-15"
"Foamies 4 the Homies","7","6-15"
"depracatedDAO","6","6-15"
"ThursdayDAO","6","6-15"
"Test Masons Project","6","6-15"
"Obserd DAO","6","6-15"
"GorillaTest1DAO","6","6-15"
"Boot PublicHaus","6","6-15"
"Sugar Skulls","5","1-5"
"DAO Test ","5","1-5"
"TyptoT1202a","4","1-5"
"Odyssy CTRL","4","1-5"
"Gno_DS_CE","4","1-5"
"CharacterSheets Dev DAO - Gnosis Chain","4","1-5"
"Bref","4","1-5"
"Bicis Almozara","4","1-5"
"test","3","1-5"
"t1","3","1-5"
"Typto Fork XI","3","1-5"
"TDAO Test","3","1-5"
"Rad Dad Lads :: ETH DENVER 2023","3","1-5"
"MAIA","3","1-5"
"KLCC","3","1-5"
"Crypto Alienz","3","1-5"
"Adbongo","3","1-5"
"t2","2","1-5"
"WIDE","2","1-5"
"Test TDAO","2","1-5"
"TEST DAO","2","1-5"
"SquanchDAO","2","1-5"
"Project: Build DAO Masons","2","1-5"
"PalestineDAO","2","1-5"
"OneTree","2","1-5"
"IranDAO","2","1-5"
"Green Founders","2","1-5"
"Fart Rocket DAO","2","1-5"
"Example","2","1-5"
"Elemental DAO (EthGlobal Tokyo)","2","1-5"
"EarthTones","2","1-5"
"DailyDAO","2","1-5"
"DAOYas","2","1-5"
"test DAO","1","1-5"
"streak","1","1-5"
"miDao","1","1-5"
"herson test","1","1-5"
"Wgmi v2","1","1-5"
"The Revolution Will Be Live","1","1-5"
"Testing DAO","1","1-5"
"Test_1","1","1-5"
"Test1","1","1-5"
"Test Eduardo","1","1-5"
"Summon","1","1-5"
"RoM","1","1-5"
"PrimerTest","1","1-5"
"Panaderia federico 2","1","1-5"
"MyDAO","1","1-5"
"Laboratorio","1","1-5"
"Hackathon Fund","1","1-5"
"GorillaTest3","1","1-5"
"Gnosis Builders Test","1","1-5"
"FunWithFlags","1","1-5"
"Esteban DAO","1","1-5"
"ECOnGOOD","1","1-5"
"Dead on Arrival - DAO Reaper Hackathon","1","1-5"
"DAO Oscar","1","1-5"
"Cookiev1","1","1-5"
"Churriana","1","1-5"
"ChrDaoTest","1","1-5"
"Absurdist Accelerationists","1","1-5"
"null","1","1-5"
"the r0ar foundation","0","0"
"testtesttest","0","0"
"stable DAO","0","0"
"rockettest","0","0"
"prova","0","0"
"fine is fine","0","0"
"card","0","0"
"Wind DAO","0","0"
"WTF DAO","0","0"
"Typto Fork IX","0","0"
"TestersDAO","0","0"
"TestMIDAO","0","0"
"Test 123","0","0"
"Test","0","0"
"TEST ELI5 DAO","0","0"
"TEST","0","0"
"SQUAD","0","0"
"SHORT","0","0"
"SDPublic","0","0"
"RaidGuild Spring Brigade Finish-line","0","0"
"RadahEarth","0","0"
"Qatarsys DAO","0","0"
"Onboarder Test 2","0","0"
"Omnibridge Party","0","0"
"ONB","0","0"
"NFT Investment Fund DAO 0x21","0","0"
"My DAO","0","0"
"MetaGamers Union","0","0"
"Mercurydao","0","0"
"Matts DAO","0","0"
"Masterthesis","0","0"
"InfraDAO","0","0"
"Hack Packer","0","0"
"Good Fatih Paradigm","0","0"
"GLD-DAO","0","0"
"EthDenver Demo DAO","0","0"
"ESDH Club ","0","0"
"DnD guild","0","0"
"DBT DAO","0","0"
"DAO new","0","0"
"Custom loot","0","0"
"Cookin with Deke","0","0"
"CoachChain Collective","0","0"
"ChainSaw | Freelance Dev","0","0"
"Build DAO Masons","0","0"
"BabyBaalDAO","0","0"
"Axé DAO","0","0"
"Agoraea","0","0"
"Adbongo Group LLC","0","0"
"420blazeit nugs n rugs","0","0"
"10Apes","0","0"
